證券代碼	簡稱	年月日	收盤價(元)
Y9999  	加權指數     	20170103	 9272.88
Y9999  	加權指數     	20170104	 9286.96
Y9999  	加權指數     	20170105	 9358.14
Y9999  	加權指數     	20170106	 9372.22
Y9999  	加權指數     	20170109	 9342.42
Y9999  	加權指數     	20170110	 9349.64
Y9999  	加權指數     	20170111	 9345.74
Y9999  	加權指數     	20170112	 9410.18
Y9999  	加權指數     	20170113	 9378.83
Y9999  	加權指數     	20170116	 9292.33
Y9999  	加權指數     	20170117	 9354.53
Y9999  	加權指數     	20170118	 9341.97
Y9999  	加權指數     	20170119	 9318.12
Y9999  	加權指數     	20170120	 9331.46
Y9999  	加權指數     	20170123	 9424.05
Y9999  	加權指數     	20170124	 9447.95
Y9999  	加權指數     	20170202	 9428.97
Y9999  	加權指數     	20170203	 9455.56
Y9999  	加權指數     	20170206	 9538.01
Y9999  	加權指數     	20170207	 9554.56
Y9999  	加權指數     	20170208	 9543.25
Y9999  	加權指數     	20170209	 9590.18
Y9999  	加權指數     	20170210	 9665.59
Y9999  	加權指數     	20170213	 9710.32
Y9999  	加權指數     	20170214	 9718.78
Y9999  	加權指數     	20170215	 9799.76
Y9999  	加權指數     	20170216	 9771.25
Y9999  	加權指數     	20170217	 9759.76
Y9999  	加權指數     	20170218	 9779.92
Y9999  	加權指數     	20170220	 9753.20
Y9999  	加權指數     	20170221	 9763.93
Y9999  	加權指數     	20170222	 9778.78
Y9999  	加權指數     	20170223	 9769.31
Y9999  	加權指數     	20170224	 9750.47
Y9999  	加權指數     	20170301	 9674.78
Y9999  	加權指數     	20170302	 9691.80
Y9999  	加權指數     	20170303	 9648.21
Y9999  	加權指數     	20170306	 9682.63
Y9999  	加權指數     	20170307	 9738.07
Y9999  	加權指數     	20170308	 9753.45
Y9999  	加權指數     	20170309	 9658.61
Y9999  	加權指數     	20170310	 9627.89
Y9999  	加權指數     	20170313	 9697.34
Y9999  	加權指數     	20170314	 9744.21
Y9999  	加權指數     	20170315	 9740.31
Y9999  	加權指數     	20170316	 9837.83
Y9999  	加權指數     	20170317	 9908.69
Y9999  	加權指數     	20170320	 9912.97
Y9999  	加權指數     	20170321	 9972.49
Y9999  	加權指數     	20170322	 9922.66
Y9999  	加權指數     	20170323	 9930.74
Y9999  	加權指數     	20170324	 9902.98
Y9999  	加權指數     	20170327	 9876.77
Y9999  	加權指數     	20170328	 9876.45
Y9999  	加權指數     	20170329	 9856.25
Y9999  	加權指數     	20170330	 9848.15
Y9999  	加權指數     	20170331	 9811.52
Y9999  	加權指數     	20170405	 9949.48
Y9999  	加權指數     	20170406	 9897.80
Y9999  	加權指數     	20170407	 9873.37
Y9999  	加權指數     	20170410	 9882.54
Y9999  	加權指數     	20170411	 9832.42
Y9999  	加權指數     	20170412	 9817.68
Y9999  	加權指數     	20170413	 9836.68
Y9999  	加權指數     	20170414	 9732.93
Y9999  	加權指數     	20170417	 9716.40
Y9999  	加權指數     	20170418	 9746.56
